	language	split	speaker id	native language	raised in	dialect	sex	age	occupation	cold or allergy	smoker	supervisor	record date	topic article	tapelabel	record place	environment noise	record conditions	comments
BUL058	BUL	train	058	BG	BG	no	male	21	Engineer	NaN	nonsmoking	Aneliya Mircheva	28.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL039	BUL	train	039	Bulgarian	Bulgaria	no	female	40	Teacher	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL048	BUL	train	048	BG	BG	no	female	45	NaN	NaN	smoking	Aneliya Mircheva	28.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL054	BUL	train	054	BG	BG	no	female	55	Technician	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL063	BUL	train	063	BG	BG	no	male	22	Engineer	NaN	nonsmoking	Aneliya Mircheva	30.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL078	BUL	train	078	BG	BG	no	male	23	Student	NaN	nonsmoking	Aneliya Mircheva	31.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL114	BUL	train	114	bg	bg	no	male	22	Student	NaN	nonsmoking	Aneliya Mircheva	11.08.205		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL069	BUL	train	069	BG	BG	no	female	40	Psychologist	NaN	nonsmoking	Aneliya Mircheva	30.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL075	BUL	train	075	BG	BG	no	male	25	Student	NaN	smoking	Aneliya Mircheva	31.07.2005		 --new prompting tool--	middle	loud	Sennheiser HM420	NaN
BUL113	BUL	train	113	BG	BG	no	male	44	Architect	NaN	nonsmoking	Aneliya Mircheva	08.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	tennis player
BUL053	BUL	train	053	BG	BG	no	female	44	Geodesist	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL064	BUL	train	064	BG	BG	no	male	23	Student	NaN	nonsmoking	Aneliya Mircheva	30.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL096	BUL	train	096	BG	BG	no	female	21	Student	NaN	nonsmoking	Aneliya Mircheva	04.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL095	BUL	train	095	BG	Bg	no	female	35	NaN	NaN	smoking	Aneliya Mircheva	04.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL084	BUL	train	084	BG	BG	no	male	22	Student	NaN	nonsmoking	Aneliya Mircheva	01.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL059	BUL	train	059	BG	BG	no	male	23	NaN	NaN	nonsmoking	Aneliya Mircheva	29.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL100	BUL	train	100	BG	BG	no	female	23	Student	NaN	nonsmoking	Aneliya Mircheva	05.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL032	BUL	train	032	NaN	NaN	NaN	female	15	NaN	NaN	nonsmoking	Aneliya Mircheva	26.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL089	BUL	train	089	BG	BG	no	female	20	Student	NaN	nonsmoking	Aneliya Mircheva	02.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL021	BUL	train	021	Bulgarian	BG	no	female	28	NaN	NaN	nonsmoking	Aneliya Mircheva	26.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL023	BUL	train	023	NaN	NaN	NaN	male	33	NaN	NaN	nonsmoking	Aneliya Mircheva	26.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL090	BUL	train	090	BG	BG	no	male	66	NaN	NaN	nonsmoking	Aneliya Mircheva	03.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL102	BUL	train	102	BG	BG	no	female	53	Worker	NaN	nonsmoking	Aneliya Mircheva	05.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL027	BUL	train	027	Bulgarian	Bulgaria	no	male	59	NaN	NaN	nonsmoking	Aneliya Mircheva	26.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL047	BUL	train	047	BG	BG	no	female	20	Student	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL111	BUL	train	111	BG	BG	no	male	41	Engineer	NaN	smoking	Aneliya Mircheva	07.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL067	BUL	train	067	BG	BG	no	female	61	Worker	NaN	nonsmoking	Aneliya Mircheva	30.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL109	BUL	train	109	BG	BG	no	female	18	Student	NaN	nonsmoking	Aneliya Mircheva	07.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL026	BUL	train	026	Bulgarian	Bulgaria	no	male	30	NaN	NaN	nonsmoking	Aneliya Mircheva	26.07.05		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL097	BUL	train	097	BG	BG	no	male	15	Student	NaN	nonsmoking	Aneliya Mircheva	04.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL094	BUL	train	094	BG	BG	no	female	40	Librarian	NaN	nonsmoking	Aneliya Mircheva	04.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL040	BUL	train	040	BG	BG	no	female	26	Teacher	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
