seg_id	uttr_id	spkr_id	language	split	gender	age	duration	file
CZE024_69_1	CZE024_69	CZE024	CZE	TRA	female	20	4.624625	Czech/wav/024/CZ024_69.wav
HRV087_2_1	HRV087_2	HRV087	HRV	TRA	female	34	5.2300625	Croatian/wav/087/CR087_2.wav
RUS072_38_1	RUS072_38	RUS072	RUS	TRA	female	49	25.655125	Russian/wav/072/RU072_38.wav
POL006_40_2	POL006_40	POL006	POL	TRA	male	40	10.4375	Polish/wav/006/PL006_40.wav
BUL056_96_1	BUL056_96	BUL056	BUL	TRA	female	24	5.875	Bulgarian/wav/056/BG056_96.wav
HRV007_17_3	HRV007_17	HRV007	HRV	TRA	female	33	14.4500625	Croatian/wav/007/CR007_17.wav
BUL080_104_1	BUL080_104	BUL080	BUL	TRA	male	25	9.6875	Bulgarian/wav/080/BG080_104.wav
CZE045_138_3	CZE045_138	CZE045	CZE	TRA	male	23	11.0615	Czech/wav/045/CZ045_138.wav
UKR106_55_1	UKR106_55	UKR106	UKR	TRA	female	32	5.5625	Ukrainian/wav/106/UA106_55.wav
POL037_72_3	POL037_72	POL037	POL	TRA		49	14.875	Polish/wav/037/PL037_72.wav
UKR017_82_1	UKR017_82	UKR017	UKR	TRA	female	64	4.6875	Ukrainian/wav/017/UA017_82.wav
RUS050_31_1	RUS050_31	RUS050	RUS	TRA	male	24	3.595125	Russian/wav/050/RU050_31.wav
UKR105_73_1	UKR105_73	UKR105	UKR	TRA	male	28	3.25	Ukrainian/wav/105/UA105_73.wav
POL008_72_3	POL008_72	POL008	POL	TRA	male	53	10.4375	Polish/wav/008/PL008_72.wav
BUL097_37_1	BUL097_37	BUL097	BUL	TRA	male	15	8.125	Bulgarian/wav/097/BG097_37.wav
POL049_100_3	POL049_100	POL049	POL	TRA		42	24.5625	Polish/wav/049/PL049_100.wav
HRV006_23_2	HRV006_23	HRV006	HRV	TRA	female	70	13.8000625	Croatian/wav/006/CR006_23.wav
UKR109_62_1	UKR109_62	UKR109	UKR	TRA	female	21	3.3125	Ukrainian/wav/109/UA109_62.wav
POL057_69_1	POL057_69	POL057	POL	TRA		53	4.375	Polish/wav/057/PL057_69.wav
HRV055_30_2	HRV055_30	HRV055	HRV	TRA	female	50	13.9000625	Croatian/wav/055/CR055_30.wav
UKR028_20_1	UKR028_20	UKR028	UKR	TRA	male	42	3.125	Ukrainian/wav/028/UA028_20.wav
BUL078_65_2	BUL078_65	BUL078	BUL	TRA	male	23	8.9375	Bulgarian/wav/078/BG078_65.wav
RUS003_102_1	RUS003_102	RUS003	RUS	TRA	male	26	9.454125	Russian/wav/003/RU003_102.wav
CZE009_138_3	CZE009_138	CZE009	CZE	TRA	male	22	11.249	Czech/wav/009/CZ009_138.wav
HRV008_4_2	HRV008_4	HRV008	HRV	TRA	male	19	8.0200625	Croatian/wav/008/CR008_4.wav
HRV007_35_2	HRV007_35	HRV007	HRV	TRA	female	33	13.8900625	Croatian/wav/007/CR007_35.wav
CZE062_23_1	CZE062_23	CZE062	CZE	TRA	male	20	6.3119375	Czech/wav/062/CZ062_23.wav
UKR106_93_1	UKR106_93	UKR106	UKR	TRA	female	32	3.3125	Ukrainian/wav/106/UA106_93.wav
POL059_69_1	POL059_69	POL059	POL	TRA		40	17.875	Polish/wav/059/PL059_69.wav
RUS021_34_1	RUS021_34	RUS021	RUS	TRA	male	21	12.362625	Russian/wav/021/RU021_34.wav
BUL020_53_3	BUL020_53	BUL020	BUL	TRA	female	33	10.9375	Bulgarian/wav/020/BG020_53.wav
UKR106_25_2	UKR106_25	UKR106	UKR	TRA	female	32	6.625	Ukrainian/wav/106/UA106_25.wav
HRV067_1_3	HRV067_1	HRV067	HRV	TRA	female	40	20.0600625	Croatian/wav/067/CR067_1.wav
HRV013_4_3	HRV013_4	HRV013	HRV	TRA	female	53	18.4300625	Croatian/wav/013/CR013_4.wav
BUL107_101_2	BUL107_101	BUL107	BUL	TRA	female	47	7.875	Bulgarian/wav/107/BG107_101.wav
