uttr_id	spkr_id	language	split	gender	age	duration	file
UKR088_109	UKR088	UKR	TRA	female	23	3.875	Ukrainian/wav/088/UA088_109.wav
HRV006_20	HRV006	HRV	TRA	female	70	18.6100625	Croatian/wav/006/CR006_20.wav
POL037_21	POL037	POL	TRA		49	4.75	Polish/wav/037/PL037_21.wav
POL061_75	POL061	POL	TRA		42	7.875	Polish/wav/061/PL061_75.wav
HRV074_16	HRV074	HRV	TRA	female	24	9.5900625	Croatian/wav/074/CR074_16.wav
CZE078_27	CZE078	CZE	TRA	male	20	8.62425	Czech/wav/078/CZ078_27.wav
UKR009_16	UKR009	UKR	TRA	male	22	3.0625	Ukrainian/wav/009/UA009_16.wav
POL075_135	POL075	POL	TRA		40	5.25	Polish/wav/075/PL075_135.wav
HRV011_4	HRV011	HRV	TRA	female	53	12.5200625	Croatian/wav/011/CR011_4.wav
BUL085_48	BUL085	BUL	TRA	female	23	6.5	Bulgarian/wav/085/BG085_48.wav
BUL111_42	BUL111	BUL	TRA	male	41	6.0625	Bulgarian/wav/111/BG111_42.wav
CZE065_57	CZE065	CZE	TRA	male	20	10.5615625	Czech/wav/065/CZ065_57.wav
UKR031_1	UKR031	UKR	TRA	male	24	3.3125	Ukrainian/wav/031/UA031_1.wav
CZE059_86	CZE059	CZE	TRA	female	46	6.4994375	Czech/wav/059/CZ059_86.wav
CZE031_122	CZE031	CZE	TRA	male	21	17.3734375	Czech/wav/031/CZ031_122.wav
POL100_62	POL100	POL	TRA		49	9.5625	Polish/wav/100/PL100_62.wav
UKR038_15	UKR038	UKR	TRA	male	24	4.875	Ukrainian/wav/038/UA038_15.wav
BUL018_45	BUL018	BUL	TRA	female	23	10.4375	Bulgarian/wav/018/BG018_45.wav
UKR067_21	UKR067	UKR	TRA	female	55	3.0625	Ukrainian/wav/067/UA067_21.wav
HRV030_7	HRV030	HRV	TRA	male	16	8.4500625	Croatian/wav/030/CR030_7.wav
HRV029_51	HRV029	HRV	TRA	female	16	9.5300625	Croatian/wav/029/CR029_51.wav
UKR045_77	UKR045	UKR	TRA	female	22	3.0	Ukrainian/wav/045/UA045_77.wav
HRV062_41	HRV062	HRV	TRA	female	19	25.2100625	Croatian/wav/062/CR062_41.wav
HRV088_36	HRV088	HRV	TRA	female	35	15.6800625	Croatian/wav/088/CR088_36.wav
BUL078_5	BUL078	BUL	TRA	male	23	9.1875	Bulgarian/wav/078/BG078_5.wav
BUL097_99	BUL097	BUL	TRA	male	15	7.3125	Bulgarian/wav/097/BG097_99.wav
BUL056_112	BUL056	BUL	TRA	female	24	6.25	Bulgarian/wav/056/BG056_112.wav
HRV089_21	HRV089	HRV	TRA	female	16	22.5300625	Croatian/wav/089/CR089_21.wav
RUS019_4	RUS019	RUS	TRA	male	20	3.392625	Russian/wav/019/RU019_4.wav
BUL046_28	BUL046	BUL	TRA	male	25	5.0625	Bulgarian/wav/046/BG046_28.wav
CZE032_42	CZE032	CZE	TRA	female	24	6.5619375	Czech/wav/032/CZ032_42.wav
POL049_13	POL049	POL	TRA		42	9.8125	Polish/wav/049/PL049_13.wav
UKR091_41	UKR091	UKR	TRA	female	24	3.25	Ukrainian/wav/091/UA091_41.wav
RUS046_36	RUS046	RUS	TRA	male	20	5.175125	Russian/wav/046/RU046_36.wav
UKR085_65	UKR085	UKR	TRA	male	67	3.0	Ukrainian/wav/085/UA085_65.wav
UKR048_74	UKR048	UKR	TRA	female	48	3.125	Ukrainian/wav/048/UA048_74.wav
RUS067_54	RUS067	RUS	TRA	male	30	3.125125	Russian/wav/067/RU067_54.wav
UKR110_85	UKR110	UKR	TRA	female	24	5.125	Ukrainian/wav/110/UA110_85.wav
RUS004_21	RUS004	RUS	TRA	female	21	9.075125	Russian/wav/004/RU004_21.wav
HRV066_51	HRV066	HRV	TRA	female	40	21.3600625	Croatian/wav/066/CR066_51.wav
BUL065_19	BUL065	BUL	TRA	female	23	8.75	Bulgarian/wav/065/BG065_19.wav
POL074_46	POL074	POL	TRA		50	5.9375	Polish/wav/074/PL074_46.wav
UKR060_100	UKR060	UKR	TRA	female	50	3.25	Ukrainian/wav/060/UA060_100.wav
CZE049_11	CZE049	CZE	TRA	male	22	6.2494375	Czech/wav/049/CZ049_11.wav
BUL079_104	BUL079	BUL	TRA	female	22	6.0	Bulgarian/wav/079/BG079_104.wav
HRV025_7	HRV025	HRV	TRA	female	72	26.7000625	Croatian/wav/025/CR025_7.wav
HRV020_28	HRV020	HRV	TRA	male	16	5.3400625	Croatian/wav/020/CR020_28.wav
RUS066_69	RUS066	RUS	TRA	female	39	4.135125	Russian/wav/066/RU066_69.wav
HRV023_6	HRV023	HRV	TRA	female	58	21.5300625	Croatian/wav/023/CR023_6.wav
HRV010_58	HRV010	HRV	TRA	male	25	21.3600625	Croatian/wav/010/CR010_58.wav
UKR115_36	UKR115	UKR	TRA	male	31	6.0	Ukrainian/wav/115/UA115_36.wav
CZE007_135	CZE007	CZE	TRA	male	33	20.873125	Czech/wav/007/CZ007_135.wav
BUL041_74	BUL041	BUL	TRA	male	24	6.875	Bulgarian/wav/041/BG041_74.wav
BUL088_28	BUL088	BUL	TRA	female	23	14.4375	Bulgarian/wav/088/BG088_28.wav
RUS026_131	RUS026	RUS	TRA	female	21	6.042625	Russian/wav/026/RU026_131.wav
UKR009_55	UKR009	UKR	TRA	male	22	3.4375	Ukrainian/wav/009/UA009_55.wav
POL070_14	POL070	POL	TRA		49	19.6875	Polish/wav/070/PL070_14.wav
CZE060_87	CZE060	CZE	TRA	male	21	11.124	Czech/wav/060/CZ060_87.wav
UKR037_20	UKR037	UKR	TRA	female	22	3.25	Ukrainian/wav/037/UA037_20.wav
CZE004_55	CZE004	CZE	TRA	female	58	6.8744375	Czech/wav/004/CZ004_55.wav
BUL104_87	BUL104	BUL	TRA	female	18	6.25	Bulgarian/wav/104/BG104_87.wav
UKR044_20	UKR044	UKR	TRA	female	35	3.375	Ukrainian/wav/044/UA044_20.wav
UKR044_8	UKR044	UKR	TRA	female	35	3.875	Ukrainian/wav/044/UA044_8.wav
HRV024_3	HRV024	HRV	TRA	female	65	28.1400625	Croatian/wav/024/CR024_3.wav
BUL102_94	BUL102	BUL	TRA	female	53	10.9375	Bulgarian/wav/102/BG102_94.wav
UKR090_97	UKR090	UKR	TRA	female	24	3.75	Ukrainian/wav/090/UA090_97.wav
BUL045_21	BUL045	BUL	TRA	female	21	12.0	Bulgarian/wav/045/BG045_21.wav
BUL070_64	BUL070	BUL	TRA	male	34	8.5625	Bulgarian/wav/070/BG070_64.wav
POL003_19	POL003	POL	TRA	male	40	6.25	Polish/wav/003/PL003_19.wav
POL037_14	POL037	POL	TRA		49	14.875	Polish/wav/037/PL037_14.wav
POL088_33	POL088	POL	TRA		40	8.875	Polish/wav/088/PL088_33.wav
CZE054_97	CZE054	CZE	TRA	male	23	5.812	Czech/wav/054/CZ054_97.wav
UKR115_108	UKR115	UKR	TRA	male	31	4.6875	Ukrainian/wav/115/UA115_108.wav
UKR047_81	UKR047	UKR	TRA	male	26	4.6875	Ukrainian/wav/047/UA047_81.wav
UKR043_86	UKR043	UKR	TRA	male	24	4.6875	Ukrainian/wav/043/UA043_86.wav
UKR052_7	UKR052	UKR	TRA	female	63	5.5	Ukrainian/wav/052/UA052_7.wav
POL086_96	POL086	POL	TRA		53	12.0625	Polish/wav/086/PL086_96.wav
CZE058_10	CZE058	CZE	TRA	male	21	8.9991875	Czech/wav/058/CZ058_10.wav
HRV018_13	HRV018	HRV	TRA	male	27	7.6700625	Croatian/wav/018/CR018_13.wav
BUL041_82	BUL041	BUL	TRA	male	24	3.8125	Bulgarian/wav/041/BG041_82.wav
UKR011_86	UKR011	UKR	TRA	male	47	8.25	Ukrainian/wav/011/UA011_86.wav
BUL069_90	BUL069	BUL	TRA	female	40	11.4375	Bulgarian/wav/069/BG069_90.wav
BUL035_108	BUL035	BUL	TRA	male	56	12.0625	Bulgarian/wav/035/BG035_108.wav
CZE049_71	CZE049	CZE	TRA	male	22	10.6865625	Czech/wav/049/CZ049_71.wav
UKR117_22	UKR117	UKR	TRA	female	28	3.5	Ukrainian/wav/117/UA117_22.wav
POL071_47	POL071	POL	TRA		49	4.875	Polish/wav/071/PL071_47.wav
UKR063_28	UKR063	UKR	TRA	female	49	5.0625	Ukrainian/wav/063/UA063_28.wav
UKR023_21	UKR023	UKR	TRA	female	48	4.75	Ukrainian/wav/023/UA023_21.wav
UKR101_30	UKR101	UKR	TRA	male	45	4.125	Ukrainian/wav/101/UA101_30.wav
HRV093_17	HRV093	HRV	TRA	male	27	13.0000625	Croatian/wav/093/CR093_17.wav
CZE001_7	CZE001	CZE	TRA	female	51	18.8108125	Czech/wav/001/CZ001_7.wav
CZE046_28	CZE046	CZE	TRA	female	25	4.312125	Czech/wav/046/CZ046_28.wav
UKR022_11	UKR022	UKR	TRA	female	17	3.8125	Ukrainian/wav/022/UA022_11.wav
CZE051_135	CZE051	CZE	TRA	male	25	20.935625	Czech/wav/051/CZ051_135.wav
UKR053_24	UKR053	UKR	TRA	female	40	3.5	Ukrainian/wav/053/UA053_24.wav
POL076_75	POL076	POL	TRA		23	3.5625	Polish/wav/076/PL076_75.wav
CZE059_68	CZE059	CZE	TRA	female	46	5.1245625	Czech/wav/059/CZ059_68.wav
HRV056_7	HRV056	HRV	TRA	female	18	9.6300625	Croatian/wav/056/CR056_7.wav
RUS096_107	RUS096	RUS	TRA	female	25	13.525125	Russian/wav/096/RU096_107.wav
RUS068_15	RUS068	RUS	TRA	male	25	5.045125	Russian/wav/068/RU068_15.wav
UKR044_71	UKR044	UKR	TRA	female	35	3.5	Ukrainian/wav/044/UA044_71.wav
POL037_38	POL037	POL	TRA		49	3.4375	Polish/wav/037/PL037_38.wav
BUL094_2	BUL094	BUL	TRA	female	40	12.375	Bulgarian/wav/094/BG094_2.wav
POL075_133	POL075	POL	TRA		40	13.8125	Polish/wav/075/PL075_133.wav
RUS046_14	RUS046	RUS	TRA	male	20	15.495125	Russian/wav/046/RU046_14.wav
BUL060_87	BUL060	BUL	TRA	male	23	12.8125	Bulgarian/wav/060/BG060_87.wav
BUL042_22	BUL042	BUL	TRA	female	51	11.375	Bulgarian/wav/042/BG042_22.wav
POL062_62	POL062	POL	TRA		51	21.625	Polish/wav/062/PL062_62.wav
UKR050_43	UKR050	UKR	TRA	female	41	5.5625	Ukrainian/wav/050/UA050_43.wav
BUL065_100	BUL065	BUL	TRA	female	23	7.8125	Bulgarian/wav/065/BG065_100.wav
RUS095_72	RUS095	RUS	TRA	male	25	6.356625	Russian/wav/095/RU095_72.wav
POL015_35	POL015	POL	TRA	male	49	19.625	Polish/wav/015/PL015_35.wav
BUL087_22	BUL087	BUL	TRA	male	23	9.125	Bulgarian/wav/087/BG087_22.wav
RUS037_28	RUS037	RUS	TRA	female	41	20.149125	Russian/wav/037/RU037_28.wav
UKR050_63	UKR050	UKR	TRA	female	41	3.625	Ukrainian/wav/050/UA050_63.wav
RUS025_122	RUS025	RUS	TRA	male	21	6.802625	Russian/wav/025/RU025_122.wav
CZE017_85	CZE017	CZE	TRA	female	46	4.9370625	Czech/wav/017/CZ017_85.wav
POL008_105	POL008	POL	TRA	male	53	13.0625	Polish/wav/008/PL008_105.wav
HRV002_76	HRV002	HRV	TRA	female	18	17.6200625	Croatian/wav/002/CR002_76.wav
CZE078_73	CZE078	CZE	TRA	male	20	3.06225	Czech/wav/078/CZ078_73.wav
POL057_80	POL057	POL	TRA		53	7.8125	Polish/wav/057/PL057_80.wav
BUL052_46	BUL052	BUL	TRA	female	45	13.1875	Bulgarian/wav/052/BG052_46.wav
UKR077_24	UKR077	UKR	TRA	female	36	3.875	Ukrainian/wav/077/UA077_24.wav
UKR032_88	UKR032	UKR	TRA	male	22	3.875	Ukrainian/wav/032/UA032_88.wav
BUL045_8	BUL045	BUL	TRA	female	21	15.1875	Bulgarian/wav/045/BG045_8.wav
BUL048_27	BUL048	BUL	TRA	female	45	3.875	Bulgarian/wav/048/BG048_27.wav
BUL091_84	BUL091	BUL	TRA	male	51	11.875	Bulgarian/wav/091/BG091_84.wav
BUL079_51	BUL079	BUL	TRA	female	22	6.8125	Bulgarian/wav/079/BG079_51.wav
UKR100_36	UKR100	UKR	TRA	male	68	6.1875	Ukrainian/wav/100/UA100_36.wav
BUL066_59	BUL066	BUL	TRA	female	57	6.8125	Bulgarian/wav/066/BG066_59.wav
BUL042_84	BUL042	BUL	TRA	female	51	4.25	Bulgarian/wav/042/BG042_84.wav
RUS087_3	RUS087	RUS	TRA	male	22	4.585125	Russian/wav/087/RU087_3.wav
HRV029_15	HRV029	HRV	TRA	female	16	4.9200625	Croatian/wav/029/CR029_15.wav
HRV001_1	HRV001	HRV	TRA	male	27	11.9400625	Croatian/wav/001/CR001_1.wav
HRV004_61	HRV004	HRV	TRA	male	43	8.5200625	Croatian/wav/004/CR004_61.wav
UKR101_72	UKR101	UKR	TRA	male	45	3.6875	Ukrainian/wav/101/UA101_72.wav
HRV064_31	HRV064	HRV	TRA	female	45	13.5100625	Croatian/wav/064/CR064_31.wav
BUL088_95	BUL088	BUL	TRA	female	23	8.0625	Bulgarian/wav/088/BG088_95.wav
HRV088_14	HRV088	HRV	TRA	female	35	15.6000625	Croatian/wav/088/CR088_14.wav
UKR050_86	UKR050	UKR	TRA	female	41	3.4375	Ukrainian/wav/050/UA050_86.wav
HRV031_31	HRV031	HRV	TRA	male	17	11.1100625	Croatian/wav/031/CR031_31.wav
