seg_id	uttr_id	spkr_id	language	split	gender	age	duration	file
0	POL_SBC_09828		POL	DEV			8.11	pl_train_09828.wav
1	CZE_SBC_10046		CZE	DEV			3.15	cz_train_10046.wav
2	RUS_SBC_10108		RUS	DEV			3.26	ru_train_10108.wav
3	UKR_SBC_17669		UKR	DEV			3.53	ua_train_17669.wav
4	CZE_SBC_06050		CZE	DEV			3.0	cz_train_06050.wav
5	UKR_SBC_12011		UKR	DEV			3.23	ua_train_12011.wav
6	BUL_SBC_15387		BUL	DEV			4.49	bg_train_15387.wav
7	RUS_SBC_12502		RUS	DEV			3.97	ru_train_12502.wav
8	CZE_SBC_09387		CZE	DEV			3.81	cz_train_09387.wav
9	RUS_SBC_15442		RUS	DEV			5.45	ru_train_15442.wav
10	POL_SBC_08241		POL	DEV			6.78	pl_train_08241.wav
11	CZE_SBC_05600		CZE	DEV			5.61	cz_train_05600.wav
12	HRV_SBC_06529		HRV	DEV			8.13	hr_train_06529.wav
13	RUS_SBC_09980		RUS	DEV			3.19	ru_train_09980.wav
14	RUS_SBC_02089		RUS	DEV			3.96	ru_train_02089.wav
15	RUS_SBC_18574		RUS	DEV			4.97	ru_train_18574.wav
16	RUS_SBC_03738		RUS	DEV			4.26	ru_train_03738.wav
17	BUL_SBC_14648		BUL	DEV			3.35	bg_train_14648.wav
18	HRV_SBC_05341		HRV	DEV			9.68	hr_train_05341.wav
19	CZE_SBC_03236		CZE	DEV			10.0	cz_train_03236.wav
20	RUS_SBC_12752		RUS	DEV			3.48	ru_train_12752.wav
21	CZE_SBC_09362		CZE	DEV			10.0	cz_train_09362.wav
22	BUL_SBC_04936		BUL	DEV			3.55	bg_train_04936.wav
23	UKR_SBC_00716		UKR	DEV			3.08	ua_train_00716.wav
24	RUS_SBC_04261		RUS	DEV			4.55	ru_train_04261.wav
25	UKR_SBC_15582		UKR	DEV			5.56	ua_train_15582.wav
26	BUL_SBC_01634		BUL	DEV			4.22	bg_train_01634.wav
27	POL_SBC_08544		POL	DEV			5.85	pl_train_08544.wav
28	CZE_SBC_03783		CZE	DEV			7.0	cz_train_03783.wav
29	UKR_SBC_01924		UKR	DEV			4.05	ua_train_01924.wav
30	BUL_SBC_16871		BUL	DEV			5.19	bg_train_16871.wav
31	RUS_SBC_10551		RUS	DEV			3.91	ru_train_10551.wav
32	RUS_SBC_12046		RUS	DEV			3.63	ru_train_12046.wav
33	RUS_SBC_06359		RUS	DEV			3.49	ru_train_06359.wav
34	RUS_SBC_05414		RUS	DEV			3.42	ru_train_05414.wav
35	UKR_SBC_07971		UKR	DEV			4.2	ua_train_07971.wav
36	BUL_SBC_00717		BUL	DEV			3.47	bg_train_00717.wav
37	POL_SBC_02827		POL	DEV			7.32	pl_train_02827.wav
38	POL_SBC_03280		POL	DEV			8.61	pl_train_03280.wav
39	HRV_SBC_00378		HRV	DEV			10.0	hr_train_00378.wav
40	RUS_SBC_00747		RUS	DEV			4.45	ru_train_00747.wav
41	RUS_SBC_02823		RUS	DEV			3.18	ru_train_02823.wav
42	BUL_SBC_08969		BUL	DEV			8.02	bg_train_08969.wav
43	UKR_SBC_08460		UKR	DEV			3.79	ua_train_08460.wav
44	CZE_SBC_02236		CZE	DEV			7.41	cz_train_02236.wav
45	BUL_SBC_01129		BUL	DEV			5.88	bg_train_01129.wav
46	UKR_SBC_15979		UKR	DEV			3.2	ua_train_15979.wav
47	HRV_SBC_01355		HRV	DEV			9.57	hr_train_01355.wav
48	UKR_SBC_20454		UKR	DEV			7.6	ua_train_20454.wav
49	BUL_SBC_15563		BUL	DEV			4.19	bg_train_15563.wav
50	CZE_SBC_08552		CZE	DEV			6.0	cz_train_08552.wav
51	CZE_SBC_09874		CZE	DEV			5.4	cz_train_09874.wav
52	CZE_SBC_04622		CZE	DEV			8.82	cz_train_04622.wav
53	CZE_SBC_08096		CZE	DEV			6.33	cz_train_08096.wav
54	HRV_SBC_01033		HRV	DEV			8.73	hr_train_01033.wav
55	HRV_SBC_04797		HRV	DEV			6.18	hr_train_04797.wav
56	UKR_SBC_06727		UKR	DEV			3.02	ua_train_06727.wav
57	CZE_SBC_08798		CZE	DEV			5.25	cz_train_08798.wav
58	UKR_SBC_15616		UKR	DEV			3.45	ua_train_15616.wav
59	BUL_SBC_11318		BUL	DEV			3.57	bg_train_11318.wav
60	BUL_SBC_05106		BUL	DEV			5.62	bg_train_05106.wav
61	RUS_SBC_02943		RUS	DEV			5.79	ru_train_02943.wav
62	UKR_SBC_21147		UKR	DEV			6.02	ua_train_21147.wav
63	HRV_SBC_07964		HRV	DEV			5.4	hr_train_07964.wav
64	UKR_SBC_02612		UKR	DEV			4.94	ua_train_02612.wav
65	UKR_SBC_22364		UKR	DEV			4.79	ua_train_22364.wav
66	CZE_SBC_01864		CZE	DEV			5.0	cz_train_01864.wav
67	RUS_SBC_02382		RUS	DEV			4.24	ru_train_02382.wav
68	CZE_SBC_04253		CZE	DEV			8.82	cz_train_04253.wav
69	UKR_SBC_04368		UKR	DEV			3.32	ua_train_04368.wav
70	CZE_SBC_07422		CZE	DEV			9.9	cz_train_07422.wav
71	CZE_SBC_00779		CZE	DEV			7.41	cz_train_00779.wav
72	UKR_SBC_20542		UKR	DEV			3.44	ua_train_20542.wav
73	BUL_SBC_03450		BUL	DEV			3.82	bg_train_03450.wav
74	UKR_SBC_04596		UKR	DEV			5.4	ua_train_04596.wav
75	CZE_SBC_03363		CZE	DEV			8.01	cz_train_03363.wav
76	POL_SBC_06502		POL	DEV			5.81	pl_train_06502.wav
77	UKR_SBC_05209		UKR	DEV			3.3	ua_train_05209.wav
78	POL_SBC_06802		POL	DEV			7.29	pl_train_06802.wav
79	BUL_SBC_00644		BUL	DEV			4.31	bg_train_00644.wav
80	BUL_SBC_14076		BUL	DEV			6.94	bg_train_14076.wav
81	UKR_SBC_02207		UKR	DEV			3.4	ua_train_02207.wav
82	UKR_SBC_16215		UKR	DEV			4.2	ua_train_16215.wav
83	RUS_SBC_14142		RUS	DEV			4.86	ru_train_14142.wav
84	RUS_SBC_04075		RUS	DEV			8.74	ru_train_04075.wav
85	BUL_SBC_17136		BUL	DEV			3.09	bg_train_17136.wav
86	RUS_SBC_07226		RUS	DEV			3.05	ru_train_07226.wav
87	CZE_SBC_01304		CZE	DEV			8.76	cz_train_01304.wav
88	CZE_SBC_08319		CZE	DEV			7.05	cz_train_08319.wav
89	CZE_SBC_09243		CZE	DEV			4.74	cz_train_09243.wav
90	CZE_SBC_11039		CZE	DEV			4.56	cz_train_11039.wav
91	CZE_SBC_01059		CZE	DEV			6.0	cz_train_01059.wav
92	BUL_SBC_00957		BUL	DEV			3.83	bg_train_00957.wav
93	BUL_SBC_07021		BUL	DEV			4.33	bg_train_07021.wav
94	UKR_SBC_05218		UKR	DEV			3.0	ua_train_05218.wav
95	HRV_SBC_07823		HRV	DEV			6.06	hr_train_07823.wav
96	HRV_SBC_06461		HRV	DEV			7.31	hr_train_06461.wav
97	HRV_SBC_03210		HRV	DEV			9.45	hr_train_03210.wav
98	HRV_SBC_06497		HRV	DEV			6.34	hr_train_06497.wav
99	UKR_SBC_15199		UKR	DEV			3.61	ua_train_15199.wav
100	CZE_SBC_06159		CZE	DEV			3.63	cz_train_06159.wav
101	CZE_SBC_04850		CZE	DEV			7.38	cz_train_04850.wav
102	POL_SBC_03001		POL	DEV			7.83	pl_train_03001.wav
103	CZE_SBC_06279		CZE	DEV			4.29	cz_train_06279.wav
